id,nom,ville,page,code_postal
303,CENTRE SOCIAL DE LA CROIX SAINT LAMBERT, Saint,7,22000 
304,MPT/ CS LES HAUTS DE MAZARGUES, MARSEILLE 9EME ARRONDISSE,7,13009 
305,CENTRE SOCIOCULTUREL ETINCELLES, PARIS 20EME ARRONDISSEMENT,7,75020 
307,CENTRE SOCIAL OUEST, Oyonnax,7,01100 
308,CENTRE SOCIAL DE LA GRAND'CROIX, Grand,7,42320 
309,ASSOCIATION DU CENTRE SOCIAL L'ATELIER, Marquette,7,59520 
310,CENTRE SOCIOCULTUREL DE TOURNON, Tournon,7,07300 
311,CENTRE SOCIOCULTUREL DANIELLE MITTERRAND, Ambarès,7,33440 
312,ESPACE MASSY OPERA, Massy,7,91300 
313,CENTRE SOCIAL TANGER, PARIS 19EME ARRONDISSEMENT,7,75019 
314,CENTRE SOCIAL MONTREUIL - PRES AUX BOIS, Versailles,7,78000 
315,CENTRE SOCIOCULTUREL ECLAT DE VIE, Ugine,7,73400 
316,Centre Social  Saint Joseph Fontainieu, MARSEILLE 14EME ARRONDISS,7,13014 
317,CENTRE SOCIAL AU FIL DE LAMBRE, Sonnay,7,38150 
318,MAISON DE QUARTIER AXE MAJEUR - HORLOGE, Cergy,7,95800 
320,CENTRE SOCIAL-FRANCOISE DOLTO, Savigny,8,77176 
321,MPT Centre Social Kallisté-Baumillons, MARSEILLE 15EME ARRONDISS,8,13015 
322,CENTRE SOCIAL  L'EYCHO, Eysines,8,33320 
323,CENTRE SOCIAL ET DE PRÉVENTION DE FIGEAC, Figeac,8,46100 
324,MJC Centre Social  ARCHIPEL SUD, Annecy,8,74000 
325,CENTRE SOCIAL COULEUR QUARTIER KEROURIEN, Brest,8,29200 
326,CENTRE SOCIAL RELAIS 59, PARIS 12EME ARRONDISSEMENT,8,75012 
328,CS JEANNE PISTOUN, Martigues,8,13500 
329,CENTRE SOCIAL ET CULTUREL, Saint,8,62500 
330,CENTRE SOCIAL -Le beffroi, Jouy,8,95280 
