Libelle1;Libelle2;Localisation;voie;CP;CEDEXB;Ville;DEPT;INSEE;coordonnees_ban;coordonnees_insee;coordonnees_finales;code_bib;code_ua;Code region;Statut;surface;type_adresse;amplitude_horaire;pop_com
Médiathèque Municipale;LA BOUSSOLE;;15 PLACE DE LA PERCHE;62640;;Montigny-en-Gohelle;62;62587;50.429637, 2.934626;50.4280892859, 2.93038201383;50.429637,2.934626;2706.0;2706.0;32;Bibliothèque municipale;940.0;Bibliothèque ouverte au public;20.5;10482.0
Médiathèque Municipale De Moulle;;;9 rue des Arts;62910;;Moulle;62;62595;50.789301, 2.176572;50.7883148321, 2.1706543981;50.789301,2.176572;11197.0;11197.0;32;Bibliothèque municipale;90.0;Bibliothèque ouverte au public;8.0;1110.0
Mediatheque Municipale;;;1 RUE DE LA MAIRIE;62152;;Nesles;62;62603;50.625791, 1.657089;50.6227064448, 1.66004463955;50.625791,1.657089;11198.0;11198.0;32;Bibliothèque municipale;79.0;Bibliothèque ouverte au public;8.0;979.0
Bibliotheque Municipale;;Maison des Associations;8 rue Verte;62580;;Neuville-Saint-Vaast;62;62609;50.357181, 2.760308;50.3583439881, 2.75467888748;50.357181,2.760308;11199.0;11199.0;32;Bibliothèque municipale;70.0;Bibliothèque ouverte au public;8.0;1518.0
Bibliotheque Municipale;;MAIRIE DE NIELLES LES BLEQUIN;la place;62380;;Nielles-lès-Bléquin;62;62613;50.673968, 2.032071;50.675332061, 2.03042491518;50.673968,2.032071;11200.0;11200.0;32;Bibliothèque municipale;75.0;Bibliothèque ouverte au public;8.0;854.0
BIBLIOTHEQUE MUNICIPALE DELPHINE LEVISSE;;;20 Rue JULES GUESDE;62720;;Rinxent;62;62711;50.805218, 1.743308;50.8071658491, 1.74101623086;50.805218,1.743308;11217.0;11217.0;32;Bibliothèque municipale;135.0;Bibliothèque ouverte au public;22.0;2974.0
Bibliothèque Municipale;;;1 Rue DE LA MAIRIE;62118;;Roeux;62;62718;50.294983, 2.89753;50.3016559501, 2.89915245765;50.294983,2.89753;11220.0;11220.0;32;Bibliothèque municipale;;Bibliothèque ouverte au public;;1490.0
Bibliotheque Municipale;;;3370 RUE DE LA LYS;62840;;SAILLY SUR LA LYS;62;62736;50.661734, 2.799292;50.6532332701, 2.79249849805;50.661734,2.799292;11227.0;11227.0;32;Bibliothèque municipale;85.0;Bibliothèque ouverte au public;17.0;4068.0
Mediatheque Municipale;ADAM DE LA HALLE;;RUE ARTHUR LAMENDIN;62430;;Sallaumines;62;62771;50.420572, 2.859902;50.4204336349, 2.85999934529;50.420572,2.859902;2714.0;2714.0;32;Bibliothèque municipale;1000.0;Bibliothèque ouverte au public;27.0;10073.0
Médiathèque Municipale;;MAIRIE;30 RUE DES MANOIRS;62690;;SAVY-BERLETTE;62;62785;50.354084, 2.569657;50.3544160083, 2.55845813427;50.354084,2.569657;11238.0;11238.0;32;Bibliothèque municipale;126.0;Bibliothèque ouverte au public;12.0;1136.0
Bibliotheque Municipale;;;4 PLACE COMTESSE MAHAUT D'ARTOIS;62890;;Tournehem-sur-la-Hem;62;62827;50.806611, 2.048601;50.7916214471, 2.04769169432;50.806611,2.048601;2719.0;2719.0;32;Bibliothèque municipale;80.0;Bibliothèque ouverte au public;8.5;1467.0
Mediatheque Municipale;;;Place de la Mairie;62720;;Wierre-Effroy;62;62889;50.777561, 1.739024;50.7718663253, 1.73716281389;50.777561,1.739024;11257.0;11257.0;32;Bibliothèque municipale;70.0;Bibliothèque ouverte au public;8.0;819.0
Bibliothèque Municipale;rue bernard chochoy;résidence marie curie;14 résidence Marie Curie;62570;;Wizernes;62;62902;50.709368, 2.226194;50.7153325042, 2.22913159655;50.709368,2.226194;11262.0;11262.0;32;Bibliothèque municipale;97.0;Bibliothèque ouverte au public;13.0;3374.0
Bibliothèque d'Auzelles;;;;63590;;Auzelles;63;63023;45.601067, 3.509278;45.6068543824, 3.51902613907;45.601067,3.509278;11826.0;18430.0;84;Bibliothèque municipale;;Bibliothèque ouverte au public;;358.0
Mairie;;;PLACE DE LA BARRERE;63570;;Beaulieu;63;63031;45.445128, 3.286059;45.4434163862, 3.2857086032;45.445128,3.286059;11887.0;11887.0;84;Bibliothèque municipale;;Bibliothèque ouverte au public;;429.0
Point lecture de Briffons;Réseau de lecture Chavanon Combrailles et Volcans;Mairie;nc nc nc;63820;;BRIFFONS;63;63053;;45.7007518204, 2.65439923771;45.7007518204,2.65439923771;11901.0;18431.0;84;Bibliothèque municipale;;Bibliothèque ouverte au public;;291.0
Mairie De Celles Sur Durolle;;;rue du 11 novembre;63250;;Celles-sur-Durolle;63;63066;45.857537, 3.635825;45.8720497687, 3.65199036079;45.857537,3.635825;11905.0;11905.0;84;Bibliothèque municipale;;Bibliothèque ouverte au public;;1775.0
Mediatheque Hugo Pratt;;ANNEXE LE CENDRE;PLACE GRASSION FREDOT;63670;;LE CENDRE;63;63069;45.721206, 3.18736;45.7178589681, 3.19396372923;45.721206,3.18736;2734.0;2738.0;84;Bibliothèque municipale;13227.0;Bibliothèque ouverte au public;60.0;5286.0
Bibliothèque du Crest;;;Le Bourg;63450;;Le Crest;63;63084;45.705746, 3.054752;45.6953181074, 3.08324914721;45.705746,3.054752;5857.0;18429.0;84;Bibliothèque municipale;;Bibliothèque ouverte au public;;1700.0
Bibliothèque de Chanonat;;;7 RUE DE LA MISSION;63450;;Chanonat;63;63084;45.69214, 3.096897;45.6953181074, 3.08324914721;45.69214,3.096897;5865.0;18429.0;84;Bibliothèque municipale;;Bibliothèque ouverte au public;;1700.0
Bibliothèque de Chauriat;;RUE DU COMMERCE;18;63117;;Chauriat;63;63106;45.750457, 3.277836;45.7437351677, 3.27755208061;45.750457,3.277836;12121.0;11892.0;84;Bibliothèque municipale;;Bibliothèque ouverte au public;;1682.0
Médiathèque Combronde - tête de réseau secteur plaine;Centre de Ressources doc du Pat. du Pays des Combrailles;;Place Maréchal Fayolle;63460;;Combronde;63;63116;45.979538, 3.088975;45.9858171361, 3.08063423598;45.979538,3.088975;11932.0;11976.0;84;Bibliothèque municipale;;Bibliothèque ouverte au public;;2212.0
Point lecture de Condat en Combraille;Réseau de lecture Chavanon Combrailles et Volcans;;mairie  le bourg;63380;;CONDAT EN COMBRAILLE;63;63118;45.853849, 2.562452;45.8621808314, 2.56600859259;45.853849,2.562452;11934.0;18431.0;84;Bibliothèque municipale;;Bibliothèque ouverte au public;;444.0
Bibliothèque de Crevant-Laveine;Le bourg;;_;63350;;Crevant-Laveine;63;63128;45.91407, 3.374128;45.90236787, 3.4014570747;45.91407,3.374128;11938.0;11969.0;84;Bibliothèque municipale;;Bibliothèque ouverte au public;;992.0
Bibliothèque de Domaize;;;;63520;;Domaize;63;63136;45.687392, 3.535769;45.686410901, 3.53308767944;45.687392,3.535769;11829.0;18430.0;84;Bibliothèque municipale;3195.0;Bibliothèque ouverte au public;52.0;398.0
Bibliothèque de Doranges;;Le bourg;Le Bourg;63220;;Doranges;63;63137;45.406516, 3.615491;45.3996897026, 3.60566060253;45.406516,3.615491;11944.0;18430.0;84;Bibliothèque municipale;;Bibliothèque ouverte au public;;157.0
Bibliotheque de Dore l'Eglise;7 rue du Presbytère;;7 rue du presbytère;63220;;Dore-l'Eglise;63;63139;45.383344, 3.751632;45.3776442028, 3.75676812672;45.383344,3.751632;2744.0;18430.0;84;Bibliothèque municipale;;Bibliothèque ouverte au public;;638.0
Reseau des Mediatheques - Secteur d' Ennezat;COMMUNAUTE D'AGGLOMERATION RIOM LIMAGNE ET VOLCANS;;5 mail JOST PASQUIER;63200;;Riom;63;63148;;45.895678159, 3.21640094817;45.895678159,3.21640094817;4763.0;2757.0;84;Bibliothèque municipale;;Adresse administrative;;2566.0
Bibliothèque relais de Giat;Réseau de lecture Chavanon Combrailles et Volcans;;4 bis rue de L'Hôtel de Ville;63620;;GIAT;63;63165;45.802542, 2.46809;45.7993582147, 2.47685317783;45.802542,2.46809;11954.0;18431.0;84;Bibliothèque municipale;;Bibliothèque ouverte au public;;892.0
Mediathèque municipale René-Char;;B.P. 2;PARVIS RAOUL-OLLIER;63501;CEDEX;Issoire;63;63178;;45.5455577894, 3.24499324643;45.5455577894,3.24499324643;2746.0;2746.0;84;Bibliothèque municipale;1225.0;Bibliothèque ouverte au public;27.0;15099.0
Bibliothèque de la Tour-D'auvergne;;;route du Mont-Dore;63680;;La Tour-d'Auvergne;63;63192;45.534416, 2.692822;45.544240217, 2.70757823914;45.534416,2.692822;11968.0;2766.0;84;Bibliothèque municipale;;Bibliothèque ouverte au public;;675.0
Médiathèque De Lussat;;;Place de la fontaine;63360;;Lussat;63;63200;45.839356, 3.215557;45.8379405832, 3.22624771125;45.839356,3.215557;11839.0;2757.0;84;Bibliothèque municipale;;Bibliothèque ouverte au public;;939.0
Bibliothèque de Marat;;Mairie - le bourg;;63480;;Marat;63;63207;45.658686, 3.681888;45.6728912976, 3.68812548894;45.658686,3.681888;12126.0;18430.0;84;Bibliothèque municipale;;Bibliothèque ouverte au public;;846.0
Médiathèque Des Martres Sur Morge;;;rue des Contamines;63720;;Martres-sur-Morge;63;63215;45.935245, 3.2225;45.9367934098, 3.21935374869;45.935245,3.2225;10350.0;2757.0;84;Bibliothèque municipale;;Bibliothèque ouverte au public;;662.0
Mairie Dépôt Bibliobus;;;12 place pouget;63340;;Moriat;63;63242;45.404715, 3.262122;45.4048477206, 3.25943853538;45.404715,3.262122;11990.0;11990.0;84;Bibliothèque municipale;;Bibliothèque ouverte au public;;372.0
Bibliotheque CELLULE/CHAMBARON SUR MORGE;CELLULE;;;63200;;Cellule;63;63244;45.964926, 3.15674;45.9678093732, 3.15096276782;45.964926,3.15674;2733.0;2757.0;84;Bibliothèque municipale;;Bibliothèque ouverte au public;;1696.0
Bibliothèque De Nonette;;;rue Benoît Pinaud;63340;;Nonette;63;63255;45.475959, 3.279832;45.4846982805, 3.28374300124;45.475959,3.279832;11997.0;11997.0;84;Bibliothèque municipale;;Bibliothèque ouverte au public;;565.0
Bibliothèque d'Olloix;;;rue des trois puys;63450;;Olloix;63;63259;45.62108, 3.047554;45.6226524872, 3.05077529203;45.62108,3.047554;5861.0;18429.0;84;Bibliothèque municipale;;Bibliothèque ouverte au public;;326.0
Point lecture de Pontaumur;Réseau de lecture Chavanon Combrailles et Volcans;;2 Place de l;63380;;PONTAUMUR;63;63283;45.86774, 2.675781;45.8601283416, 2.68239147553;45.86774,2.675781;14940.0;18431.0;84;Bibliothèque municipale;;Bibliothèque ouverte au public;;804.0
Bibliothèque de Prompsat;;;;63200;;Prompsat;63;63288;45.948881, 3.077455;45.9450364846, 3.07223860162;45.948881,3.077455;12419.0;11976.0;84;Bibliothèque municipale;;Bibliothèque ouverte au public;;430.0
Médiathèque Municipale;;Médiathèque Alexandre Varenne;58 rue Joseph Claussat;63290;;Puy-Guillaume;63;63291;45.960402, 3.471492;45.9610998338, 3.49732173113;45.960402,3.471492;2756.0;2756.0;84;Bibliothèque municipale;546.0;Bibliothèque ouverte au public;16.0;2756.0
Médiathèque relais de Queuille;;le bourg;29 rue du méandre;63780;;Queuille;63;63294;45.970601, 2.845131;45.9728708366, 2.83726186484;45.970601,2.845131;12016.0;11976.0;84;Bibliothèque municipale;;Bibliothèque ouverte au public;;274.0
Bibliotheques de RIOM LIMAGNE ET VOLCANS;RIOM;;5 BIS RUE CROIZIER;63200;;RIOM;63;63300;45.893357, 3.11429;45.8942667778, 3.13246469719;45.893357,3.11429;2757.0;2757.0;84;Bibliothèque municipale;;Adresse administrative;;19861.0
Bibliotheque de Saillant;;LE BOURG;Le Bourg NC NC;63840;;Saillant;63;63309;45.458824, 3.912177;45.4486696779, 3.92581266951;45.458824,3.912177;12021.0;18430.0;84;Bibliothèque municipale;;Bibliothèque ouverte au public;;279.0
Bibliothèque De Saint-Bonnet-Le-Bourg;;;;63630;;Saint-Bonnet-le-Bourg;63;63323;45.434355, 3.608486;45.4368658908, 3.59632655596;45.434355,3.608486;12030.0;18430.0;84;Bibliothèque municipale;;Bibliothèque ouverte au public;;148.0
Bibliothèque de Saint-Dier-d'Auvergne;;;Prieuré;63520;;Saint-Dier-d'Auvergne;63;63334;45.67569, 3.48262;45.6701289344, 3.48253379649;45.67569,3.48262;12034.0;11892.0;84;Bibliothèque municipale;;Bibliothèque ouverte au public;;543.0
Bibliothèque De Saint-Floret;;;rue des Moulins;63320;;Saint-Floret;63;63342;45.551035, 3.10518;45.5393613066, 3.0936807019;45.551035,3.10518;12038.0;12038.0;84;Bibliothèque municipale;12.0;Bibliothèque ouverte au public;10.0;265.0
Médiathèque relais de Saint-Georges-de-Mons;;;Le bourg;63780;;Saint-Georges-de-Mons;63;63349;45.927473, 2.858402;45.9425789981, 2.86525806155;45.927473,2.858402;12040.0;11976.0;84;Bibliothèque municipale;;Bibliothèque ouverte au public;;2047.0
Médiathéque Municipale;;rue sous l'école;;63800;;Saint-Georges-sur-Allier;63;63350;45.710018, 3.241643;45.7146185494, 3.26081077344;45.710018,3.241643;12041.0;12041.0;84;Bibliothèque municipale;56.0;Bibliothèque ouverte au public;1.0;1262.0
BIBLIOTHEQUE MUNICIPALE;;CENTRE CULTUREL ROBERT BERNARD;AVENUE DU GENERAL DESAIX;63390;;SAINT GERVAIS D'AUVERGNE;63;63354;46.02995, 2.820568;46.0189715375, 2.83089717473;46.02995,2.820568;2763.0;2763.0;84;Bibliothèque municipale;235.0;Bibliothèque ouverte au public;23.5;1442.0
Médiathèque De Saint Ignat;;;Place de la mairie;63720;;Saint-Ignat;63;63362;45.922647, 3.272967;45.9198911724, 3.273318515;45.922647,3.272967;11842.0;2757.0;84;Bibliothèque municipale;;Bibliothèque ouverte au public;;871.0
Dépôt lecture de Saint Jacques d'Ambur;Réseau de lecture Chavanon Combrailles et Volcans;Mairie - Le bourg;;63230;;SAINT JACQUES D'AMBUR;63;63363;45.90177, 2.776408;45.8966831602, 2.76646671593;45.90177,2.776408;12048.0;18431.0;84;Bibliothèque municipale;;Bibliothèque ouverte au public;;275.0
Médiathèque de Saint-Maigner;;Le Bourg;;63330;;Saint-Maigner;63;63373;46.087144, 2.684225;46.0784044812, 2.68604538053;46.087144,2.684225;12055.0;12055.0;84;Bibliothèque municipale;;Bibliothèque ouverte au public;;201.0
Bibliothèque De Saint-Maurice-Près-Pionsat;MAIRIE;LE BOURG;;63330;;Saint-Maurice-près-Pionsat;63;63377;46.065267, 2.600263;46.0687545413, 2.59304544754;46.065267,2.600263;12056.0;12056.0;84;Bibliothèque municipale;12.0;Bibliothèque ouverte au public;24.0;371.0
Bibliothèque De Saint Priest Des Champs;Mairie;Le Bourg;le bourg;63640;;Saint-Priest-des-Champs;63;63388;46.009047, 2.745238;45.9720196173, 2.74903294202;46.009047,2.745238;12062.0;12062.0;84;Bibliothèque municipale;20.0;Bibliothèque ouverte au public;2.0;765.0
Bibliothèque De Saint-Saturnin;;;place du 8 mai;63450;;Saint Saturnin;63;63396;45.659516, 3.090139;45.66385711, 3.07392244735;45.659516,3.090139;5863.0;18429.0;84;Bibliothèque municipale;;Bibliothèque ouverte au public;;1270.0
Bibliothèque de Sallèdes;;Le Bourg;Le Bourg;63270;;Sallèdes;63;63405;45.649102, 3.332906;45.6462597262, 3.32585901323;45.649102,3.332906;12144.0;18429.0;84;Bibliothèque municipale;;Bibliothèque ouverte au public;;597.0
Bibliotheque Municipale;;;RUE DE LA MAIR;63730;;La Sauvetat;63;63413;45.634974, 3.169761;45.6424514679, 3.16483008201;45.634974,3.169761;12077.0;12077.0;84;Bibliothèque municipale;;Bibliothèque ouverte au public;;719.0
Bibliotheque Municipale;;RUE DE LA MAIRIE;;63530;;Sayat;63;63417;45.825528, 3.051521;45.8388005016, 3.03448182973;45.825528,3.051521;12080.0;12080.0;84;Bibliothèque municipale;122.0;Bibliothèque ouverte au public;13.0;2281.0
Bibliothèque de Sermentizon;;Mairie de Sermentizon;;63120;;SERMENTIZON;63;63418;45.761396, 3.500463;45.7640786806, 3.48570267684;45.761396,3.500463;12081.0;12081.0;84;Bibliothèque municipale;45.0;Bibliothèque ouverte au public;2.0;591.0
Bibliothèque De Sugères;;le bourg;0 0 0;63490;;Sugères;63;63423;45.598164, 3.412419;45.6003604212, 3.41188316397;45.598164,3.412419;12084.0;12084.0;84;Bibliothèque municipale;35.0;Bibliothèque ouverte au public;2.0;621.0
Bibliothèque De Teilhet;;Le Bourg;;63560;;Teilhet;63;63428;46.095547, 2.821379;46.1023710126, 2.81638595115;46.095547,2.821379;12087.0;12087.0;84;Bibliothèque municipale;;Bibliothèque ouverte au public;;310.0
Ludothèque-Bibliothèque de Thiolières;;;Le bourg;63600;;THIOLIERES;63;63431;45.584161, 3.691482;45.5821770217, 3.69356744497;45.584161,3.691482;15242.0;18430.0;84;Bibliothèque municipale;;Bibliothèque ouverte au public;;168.0
Bibliothèque  Municipale Jean de Beaufort;;Monton;6 Rue Jean de Beaufort;63960;;VEYRE MONTON;63;63455;45.676985, 3.158747;45.6731732382, 3.16405079473;45.676985,3.158747;2768.0;2768.0;84;Bibliothèque municipale;35.0;Bibliothèque ouverte au public;3.0;3496.0
Bibliothèque De Virlet;;;;00000;;Virlet;63;63462;;46.1545658295, 2.70225561671;46.1545658295,2.70225561671;12106.0;12106.0;84;Bibliothèque municipale;;Bibliothèque ouverte au public;;274.0
Bibliothèque d'Yssac la Tourette;;Mairie;1 place Guillaume Douarre;63200;;Yssac-la-Tourette;63;63473;45.934131, 3.091506;45.9344003582, 3.09229073701;45.934131,3.091506;12113.0;11976.0;84;Bibliothèque municipale;;Bibliothèque ouverte au public;;391.0
Bibliothèque relais;;rue des écoles;NC NC NC;64400;;Agnos;64;64007;43.162476, -0.619869;43.1539224601, -0.62932795894;43.162476,-0.619869;14530.0;2794.0;75;Bibliothèque municipale;;Bibliothèque ouverte au public;;1009.0
Bibliotheque D'artigueloutan;;;RUE DE LA MAIRIE;64420;;ARTIGUELOUTAN;64;64059;43.272446, -0.24567;43.2722949713, -0.243925717191;43.272446,-0.24567;8932.0;8932.0;75;Bibliothèque municipale;45.0;Bibliothèque ouverte au public;8.0;1045.0
Point lecture;;Mairie;NC NC NC;64660;;Asasp;64;64064;43.122125, -0.614884;43.1179115359, -0.629962098599;43.122125,-0.614884;14536.0;2794.0;75;Bibliothèque municipale;;Bibliothèque ouverte au public;;492.0
Bibliothèque Municipale d'Ascain;;;RUE SAN IGNACIO;64310;64310;Ascain;64;64065;43.344195, -1.620463;43.3396601016, -1.6307994298;43.344195,-1.620463;8935.0;8935.0;75;Bibliothèque municipale;110.0;Bibliothèque ouverte au public;17.0;4348.0
Bibliothèque De Assat;;;;00000;;Assat;64;64067;;43.2575933228, -0.288463640719;43.2575933228,-0.288463640719;8936.0;8936.0;75;Bibliothèque municipale;;Bibliothèque ouverte au public;;1861.0
Médiathèque Centre-Ville;;;10 rue des Gouverneurs;64109;Cedex;Bayonne;64;64102;;43.4922254016, -1.46607674358;43.4922254016,-1.46607674358;2774.0;2774.0;75;Bibliothèque municipale;4000.0;Bibliothèque ouverte au public;37.0;50566.0
Médiathèque Municipale;;;2 Rue Ambroise Paré;64200;;Biarritz;64;64122;43.481627, -1.554312;43.4695847227, -1.55309857519;43.481627,-1.554312;2775.0;2775.0;75;Bibliothèque municipale;2987.0;Bibliothèque ouverte au public;37.0;25253.0
Bibliothèque De Bidarray;;;Chemin de l'Eglise;64780;;Bidarray;64;64124;43.266105, -1.345359;43.2723557234, -1.35385755497;43.266105,-1.345359;8949.0;8949.0;75;Bibliothèque municipale;;Bibliothèque ouverte au public;;713.0
Bibliotheque De Buros;;;160 ROUTE DE MORLAAS;64160;;Buros;64;64152;43.352132, -0.30935;43.3463641258, -0.315857247807;43.352132,-0.30935;8956.0;8956.0;75;Bibliothèque municipale;30.0;Bibliothèque ouverte au public;2.0;1906.0
Bibliotheque De Carresse;;;15 ROUTE DU STADE;64270;;Carresse-Cassaber;64;64168;43.480084, -0.996772;43.4867092033, -0.999430077721;43.480084,-0.996772;8960.0;8960.0;75;Bibliothèque municipale;50.0;Bibliothèque ouverte au public;4.0;671.0
Bibliothèque Municipale De Denguin;;;5 rue des Ecoles;64230;;Denguin;64;64198;43.360196, -0.508566;43.3708216546, -0.500350227226;43.360196,-0.508566;8964.0;8964.0;75;Bibliothèque municipale;84.0;Bibliothèque ouverte au public;4.0;1774.0
Point lecture;;;mairie nc;64400;;ESTOS;64;64220;43.20746, -0.612247;43.2125962039, -0.60619639047;43.20746,-0.612247;17201.0;2794.0;75;Bibliothèque municipale;;Bibliothèque ouverte au public;;540.0
Bibliotheque De Gerderest;;;CHEMIN D'ABERE;64160;;Gerderest;64;64239;43.403869, -0.171577;43.4091904721, -0.170896858069;43.403869,-0.171577;8973.0;8973.0;75;Bibliothèque municipale;24.0;Bibliothèque ouverte au public;2.0;130.0
Bibliotheque De Gurmencon;;;RUE DES ECOLES;64400;;Gurmençon;64;64252;43.155224, -0.595943;43.1583407209, -0.599376287501;43.155224,-0.595943;8975.0;8975.0;75;Bibliothèque municipale;;Bibliothèque ouverte au public;;891.0
Mairie De Gurs;;;1 CHEMIN DU HAMEAU;64190;;Gurs;64;64253;43.286911, -0.753335;43.2765512642, -0.758975468791;43.286911,-0.753335;8976.0;8976.0;75;Bibliothèque municipale;0.0;Bibliothèque ouverte au public;12.0;486.0
Médiathèque;PIERRE ESPIL;MAISON DES SERVICES PUBLICS ELGAR;13 RUE GASKOINA;64240;;Hasparren;64;64256;43.384988, -1.306334;43.3982982364, -1.32563611071;43.384988,-1.306334;2782.0;2782.0;75;Bibliothèque municipale;518.0;Bibliothèque ouverte au public;27.0;6845.0
Bibliotheque IDRON;;;2 RUE DU BOURG;64320;;Idron;64;64269;43.289126, -0.312161;43.2983178945, -0.306106204673;43.289126,-0.312161;8980.0;8980.0;75;Bibliothèque municipale;;Bibliothèque ouverte au public;;4885.0
Bibliotheque municipale d'Itxassou;;MAIRIE;409 rue Karrika Nagusia;64250;;ITXASSOU;64;64279;43.334261, -1.406728;43.3100742796, -1.40531371043;43.334261,-1.406728;8983.0;8983.0;75;Bibliothèque municipale;;Bibliothèque ouverte au public;;2091.0
